eBird_English,Scientific
Finsch's Duck,Chenonetta finschi
Mauritius Wood-Pigeon,Columba thiriouxi
Mauritius Turtle-Dove,Nesoenas cicur
Maroon-chinned Fruit-Dove,Ramphiculus gularis
Rodrigues Blue-Pigeon,Alectroenas payandeei
Mexican Squirrel-Cuckoo,Piaya mexicana
Lord Howe Rail,Gallirallus sylvestris
New Britain Rail,Gallirallus insignis
Hodgen's Waterhen,Tribonyx hodgenorum
New Caledonian Gallinule,Porphyrio kukwiedei
Reunion Gallinule,Porphyrio caerulescens
Blue-billed White-Tern,Gygis candida
Little White-Tern,Gygis microrhyncha
Seram Masked-Owl,Tyto almae
Coppery-tailed Trogon,Trogon ambiguus
Forest Scimitarbill,Rhinopomastus castaneiceps
Lilacine Amazon,Amazona lilacina
Martinique Amazon,Amazona martinicana
Guadeloupe Amazon,Amazona violacea
Subandean Parakeet,Pyrrhura subandina
Perija Parakeet,Pyrrhura caeruleiceps
Guadeloupe Parakeet,Psittacara labati
Marañon Antshrike,Thamnophilus shumbae
Black-hooded Antthrush,Formicarius destructus
Hispaniolan Elaenia,Elaenia cherriei
Tumbes Chat-Tyrant,Ochthoeca salvini
Salvadoran Flycatcher,Myiarchus flavidior
Mottled Honeyeater,Meliphaga mimikae
Vanuatu Honeyeater,Gliciphila notabilis
Sunda Honeyeater,Lichmera lombokia
Rufous-fronted Greenlet,Tunchiornis ferrugineifrons
Guianan Greenlet,Tunchiornis luteifrons
Para Greenlet,Tunchiornis rubrifrons
Blue-gray Robin,Melanodryas cyanus
Raiatea Starling,Aplonis ulietensis
Reunion Fody,Foudia delloni
Gray-crowned Ground-Sparrow,Melozone occipitalis
Rose-bellied Chat,Granatellus paraensis
Black-billed Cnemoscopus,Cnemoscopus chrysogaster
